TrtID,TrtDesc,PrimingWP,PrimingTemp,PrimingDuration,GermWP,GermTemp,CumTime,CumFraction
14,Primed,-0.91,10,24,0,20,166.1,0.94
15,Primed,-0.91,10,72,0,20,0,0
15,Primed,-0.91,10,72,0,20,23.8,0
15,Primed,-0.91,10,72,0,20,46,0
15,Primed,-0.91,10,72,0,20,69.7,0
15,Primed,-0.91,10,72,0,20,94.5,0.35
15,Primed,-0.91,10,72,0,20,118.8,0.99
15,Primed,-0.91,10,72,0,20,166.1,0.99
16,Primed,-0.91,10,120,0,20,0,0
16,Primed,-0.91,10,120,0,20,23.8,0
16,Primed,-0.91,10,120,0,20,46,0
16,Primed,-0.91,10,120,0,20,69.7,0.01
16,Primed,-0.91,10,120,0,20,94.5,0.74
16,Primed,-0.91,10,120,0,20,118.8,0.98
16,Primed,-0.91,10,120,0,20,166.1,1
17,Primed,-0.91,10,148,0,20,0,0
17,Primed,-0.91,10,148,0,20,23.8,0
17,Primed,-0.91,10,148,0,20,46,0
17,Primed,-0.91,10,148,0,20,69.7,0.06
17,Primed,-0.91,10,148,0,20,94.5,0.94
17,Primed,-0.91,10,148,0,20,118.8,0.99
17,Primed,-0.91,10,148,0,20,166.1,0.99
18,Primed,-0.91,12.5,24,0,20,0,0
18,Primed,-0.91,12.5,24,0,20,23.8,0
18,Primed,-0.91,12.5,24,0,20,46,0
18,Primed,-0.91,12.5,24,0,20,69.7,0.01
18,Primed,-0.91,12.5,24,0,20,94.5,0.88
18,Primed,-0.91,12.5,24,0,20,118.8,0.99
18,Primed,-0.91,12.5,24,0,20,166.1,0.99
19,Primed,-0.91,12.5,72,0,20,0,0
19,Primed,-0.91,12.5,72,0,20,23.8,0
19,Primed,-0.91,12.5,72,0,20,46,0
19,Primed,-0.91,12.5,72,0,20,69.7,0.51
19,Primed,-0.91,12.5,72,0,20,94.5,0.97
19,Primed,-0.91,12.5,72,0,20,118.8,0.99
19,Primed,-0.91,12.5,72,0,20,166.1,1
20,Primed,-0.91,12.5,120,0,20,0,0
20,Primed,-0.91,12.5,120,0,20,23.8,0
20,Primed,-0.91,12.5,120,0,20,46,0
20,Primed,-0.91,12.5,120,0,20,69.7,0.87
20,Primed,-0.91,12.5,120,0,20,94.5,0.98
20,Primed,-0.91,12.5,120,0,20,118.8,1
20,Primed,-0.91,12.5,120,0,20,166.1,1
21,Primed,-0.91,12.5,148,0,20,0,0
21,Primed,-0.91,12.5,148,0,20,23.8,0
21,Primed,-0.91,12.5,148,0,20,46,0
21,Primed,-0.91,12.5,148,0,20,69.7,0.86
21,Primed,-0.91,12.5,148,0,20,94.5,0.98
21,Primed,-0.91,12.5,148,0,20,118.8,0.99
21,Primed,-0.91,12.5,148,0,20,166.1,1
22,Primed,-0.91,15,24,0,20,0,0
22,Primed,-0.91,15,24,0,20,23.8,0
22,Primed,-0.91,15,24,0,20,46,0
22,Primed,-0.91,15,24,0,20,69.7,0.41
22,Primed,-0.91,15,24,0,20,94.5,0.97
22,Primed,-0.91,15,24,0,20,118.8,0.99
22,Primed,-0.91,15,24,0,20,166.1,0.99
23,Primed,-0.91,15,72,0,20,0,0
23,Primed,-0.91,15,72,0,20,23.8,0
23,Primed,-0.91,15,72,0,20,46,0.17
23,Primed,-0.91,15,72,0,20,69.7,1
23,Primed,-0.91,15,72,0,20,94.5,1
23,Primed,-0.91,15,72,0,20,118.8,1
23,Primed,-0.91,15,72,0,20,166.1,1
24,Primed,-0.91,15,120,0,20,0,0
24,Primed,-0.91,15,120,0,20,23.8,0
24,Primed,-0.91,15,120,0,20,46,0.58
24,Primed,-0.91,15,120,0,20,69.7,0.97
24,Primed,-0.91,15,120,0,20,94.5,0.99
24,Primed,-0.91,15,120,0,20,118.8,0.99
24,Primed,-0.91,15,120,0,20,166.1,1
25,Primed,-0.91,15,148,0,20,0,0
25,Primed,-0.91,15,148,0,20,23.8,0
25,Primed,-0.91,15,148,0,20,46,0.63
25,Primed,-0.91,15,148,0,20,69.7,1
25,Primed,-0.91,15,148,0,20,94.5,1
25,Primed,-0.91,15,148,0,20,118.8,1
